t_ns,t_s,utm_easting,utm_northing,altitude,hdop,latitude,longitude,zone,letter
1770478007881799246,137.85171828400001,331231.5263891665,4687771.991475005,14.8,0.8,42.323908333333335,-71.04821166666666,19,T
1770478008879503012,138.84942205000002,331232.2175231462,4687772.160009497,14.8,0.8,42.32391,-71.04820333333333,19,T
1770478009882202687,139.85212172500002,331232.35485863907,4687772.156702441,14.8,0.79,42.32391,-71.04820166666667,19,T
1770478010880145700,140.85006473800001,331232.35485863907,4687772.156702441,14.8,0.8,42.32391,-71.04820166666667,19,T
1770478011874504671,141.844423709,331232.35485863907,4687772.156702441,14.8,0.8,42.32391,-71.04820166666667,19,T
1770478012874639956,142.844558994,331232.2175231462,4687772.160009497,15.0,0.8,42.32391,-71.04820333333333,19,T
1770478013875339863,143.84525890100002,331232.35485863907,4687772.156702441,15.2,0.8,42.32391,-71.04820166666667,19,T
1770478014876823891,144.84674292900002,331232.35485863907,4687772.156702441,15.5,0.8,42.32391,-71.04820166666667,19,T
1770478015879521819,145.84944085700002,331232.35485863907,4687772.156702441,15.5,0.8,42.32391,-71.04820166666667,19,T
1770478016876878398,146.846797436,331232.35485863907,4687772.156702441,15.8,0.8,42.32391,-71.04820166666667,19,T
1770478017876728682,147.84664772000002,331232.35485863907,4687772.156702441,16.0,0.8,42.32391,-71.04820166666667,19,T
1770478018874488954,148.84440799200001,331232.35485863907,4687772.156702441,16.2,0.8,42.32391,-71.04820166666667,19,T
1770478019886425097,149.856344135,331232.35485863907,4687772.156702441,16.3,0.8,42.32391,-71.04820166666667,19,T
1770478020881970168,150.851889206,331232.35485863907,4687772.156702441,16.4,0.8,42.32391,-71.04820166666667,19,T
1770478021884363679,151.85428271700002,331232.3504021377,4687771.971632633,16.4,0.8,42.323908333333335,-71.04820166666667,19,T
1770478022881866616,152.851785654,331232.3504021377,4687771.971632633,16.4,0.8,42.323908333333335,-71.04820166666667,19,T
1770478023882084202,153.85200324000002,331232.34594563633,4687771.7865628265,16.5,0.8,42.323906666666666,-71.04820166666667,19,T
1770478024879466052,154.84938509,331232.34594563633,4687771.7865628265,16.5,0.8,42.323906666666666,-71.04820166666667,19,T
1770478025877575382,155.84749442,331232.2086101362,4687771.789869882,16.4,0.8,42.323906666666666,-71.04820333333333,19,T
1770478026882124046,156.852043084,331232.07127463806,4687771.79317694,16.3,0.8,42.323906666666666,-71.048205,19,T
1770478027877120753,157.84703979100001,331231.93393913785,4687771.796484,16.2,0.8,42.323906666666666,-71.04820666666667,19,T
1770478028879639413,158.849558451,331231.9294826258,4687771.611414191,16.3,0.8,42.323905,-71.04820666666667,19,T
